x,p_exact,rho_exact,v_exact,T_exact
-5.001,100000.0,0.9997018679147718,0.0,348.432
-5.0,100000.0,0.9997018679147718,0.0,348.432
-4.999,100000.0,0.9997018679147718,0.0,348.432
-4.998,100000.0,0.9997018679147718,0.0,348.432
-4.997,100000.0,0.9997018679147718,0.0,348.432
-4.996,100000.0,0.9997018679147718,0.0,348.432
-4.995,100000.0,0.9997018679147718,0.0,348.432
-4.994,100000.0,0.9997018679147718,0.0,348.432
-4.993,100000.0,0.9997018679147718,0.0,348.432
-4.992,100000.0,0.9997018679147718,0.0,348.432
-4.991,100000.0,0.9997018679147718,0.0,348.432
-4.99,100000.0,0.9997018679147718,0.0,348.432
-4.989,100000.0,0.9997018679147718,0.0,348.432
-4.988,100000.0,0.9997018679147718,0.0,348.432
-4.987,100000.0,0.9997018679147718,0.0,348.432
-4.986,100000.0,0.9997018679147718,0.0,348.432
-4.985,100000.0,0.9997018679147718,0.0,348.432
-4.984,100000.0,0.9997018679147718,0.0,348.432
-4.983,100000.0,0.9997018679147718,0.0,348.432
-4.982,100000.0,0.9997018679147718,0.0,348.432
-4.981,100000.0,0.9997018679147718,0.0,348.432
-4.98,100000.0,0.9997018679147718,0.0,348.432
-4.979,100000.0,0.9997018679147718,0.0,348.432
-4.978,100000.0,0.9997018679147718,0.0,348.432
-4.977,100000.0,0.9997018679147718,0.0,348.432
-4.976,100000.0,0.9997018679147718,0.0,348.432
-4.975,100000.0,0.9997018679147718,0.0,348.432
-4.974,100000.0,0.9997018679147718,0.0,348.432
-4.973,100000.0,0.9997018679147718,0.0,348.432
-4.972,100000.0,0.9997018679147718,0.0,348.432
-4.971,100000.0,0.9997018679147718,0.0,348.432
-4.97,100000.0,0.9997018679147718,0.0,348.432
-4.969,100000.0,0.9997018679147718,0.0,348.432
-4.968,100000.0,0.9997018679147718,0.0,348.432
-4.967,100000.0,0.9997018679147718,0.0,348.432
-4.966,100000.0,0.9997018679147718,0.0,348.432
-4.965,100000.0,0.9997018679147718,0.0,348.432
-4.964,100000.0,0.9997018679147718,0.0,348.432
-4.963,100000.0,0.9997018679147718,0.0,348.432
-4.962,100000.0,0.9997018679147718,0.0,348.432
-4.961,100000.0,0.9997018679147718,0.0,348.432
-4.96,100000.0,0.9997018679147718,0.0,348.432
-4.959,100000.0,0.9997018679147718,0.0,348.432
-4.958,100000.0,0.9997018679147718,0.0,348.432
-4.957,100000.0,0.9997018679147718,0.0,348.432
-4.956,100000.0,0.9997018679147718,0.0,348.432
-4.955,100000.0,0.9997018679147718,0.0,348.432
-4.954,100000.0,0.9997018679147718,0.0,348.432
-4.953,100000.0,0.9997018679147718,0.0,348.432
-4.952,100000.0,0.9997018679147718,0.0,348.432
-4.951,100000.0,0.9997018679147718,0.0,348.432
-4.95,100000.0,0.9997018679147718,0.0,348.432
-4.949,100000.0,0.9997018679147718,0.0,348.432
-4.948,100000.0,0.9997018679147718,0.0,348.432
-4.947,100000.0,0.9997018679147718,0.0,348.432
-4.946,100000.0,0.9997018679147718,0.0,348.432
-4.945,100000.0,0.9997018679147718,0.0,348.432
-4.944,100000.0,0.9997018679147718,0.0,348.432
-4.943,100000.0,0.9997018679147718,0.0,348.432
-4.942,100000.0,0.9997018679147718,0.0,348.432
-4.941,100000.0,0.9997018679147718,0.0,348.432
-4.94,100000.0,0.9997018679147718,0.0,348.432
-4.939,100000.0,0.9997018679147718,0.0,348.432
-4.938,100000.0,0.9997018679147718,0.0,348.432
-4.937,100000.0,0.9997018679147718,0.0,348.432
-4.936,100000.0,0.9997018679147718,0.0,348.432
-4.935,100000.0,0.9997018679147718,0.0,348.432
-4.934,100000.0,0.9997018679147718,0.0,348.432
-4.933,100000.0,0.9997018679147718,0.0,348.432
-4.932,100000.0,0.9997018679147718,0.0,348.432
-4.931,100000.0,0.9997018679147718,0.0,348.432
-4.93,100000.0,0.9997018679147718,0.0,348.432
-4.929,100000.0,0.9997018679147718,0.0,348.432
-4.928,100000.0,0.9997018679147718,0.0,348.432
-4.927,100000.0,0.9997018679147718,0.0,348.432
-4.926,100000.0,0.9997018679147718,0.0,348.432
-4.925,100000.0,0.9997018679147718,0.0,348.432
-4.924,100000.0,0.9997018679147718,0.0,348.432
-4.923,100000.0,0.9997018679147718,0.0,348.432
-4.922,100000.0,0.9997018679147718,0.0,348.432
-4.921,100000.0,0.9997018679147718,0.0,348.432
-4.92,100000.0,0.9997018679147718,0.0,348.432
-4.919,100000.0,0.9997018679147718,0.0,348.432
-4.918,100000.0,0.9997018679147718,0.0,348.432
-4.917,100000.0,0.9997018679147718,0.0,348.432
-4.916,100000.0,0.9997018679147718,0.0,348.432
-4.915,100000.0,0.9997018679147718,0.0,348.432
-4.914,100000.0,0.9997018679147718,0.0,348.432
-4.913,100000.0,0.9997018679147718,0.0,348.432
-4.912,100000.0,0.9997018679147718,0.0,348.432
-4.911,100000.0,0.9997018679147718,0.0,348.432
-4.91,100000.0,0.9997018679147718,0.0,348.432
-4.909,100000.0,0.9997018679147718,0.0,348.432
-4.908,100000.0,0.9997018679147718,0.0,348.432
-4.907,100000.0,0.9997018679147718,0.0,348.432
-4.906,100000.0,0.9997018679147718,0.0,348.432
-4.905,100000.0,0.9997018679147718,0.0,348.432
-4.904,100000.0,0.9997018679147718,0.0,348.432
-4.903,100000.0,0.9997018679147718,0.0,348.432
-4.902,100000.0,0.9997018679147718,0.0,348.432
-4.901,100000.0,0.9997018679147718,0.0,348.432
-4.9,100000.0,0.9997018679147718,0.0,348.432
-4.899,100000.0,0.9997018679147718,0.0,348.432
-4.898,100000.0,0.9997018679147718,0.0,348.432
-4.897,100000.0,0.9997018679147718,0.0,348.432
-4.896,100000.0,0.9997018679147718,0.0,348.432
-4.895,100000.0,0.9997018679147718,0.0,348.432
-4.894,100000.0,0.9997018679147718,0.0,348.432
-4.893,100000.0,0.9997018679147718,0.0,348.432
-4.892,100000.0,0.9997018679147718,0.0,348.432
-4.891,100000.0,0.9997018679147718,0.0,348.432
-4.89,100000.0,0.9997018679147718,0.0,348.432
-4.889,100000.0,0.9997018679147718,0.0,348.432
-4.888,100000.0,0.9997018679147718,0.0,348.432
-4.887,100000.0,0.9997018679147718,0.0,348.432
-4.886,100000.0,0.9997018679147718,0.0,348.432
-4.885,100000.0,0.9997018679147718,0.0,348.432
-4.884,100000.0,0.9997018679147718,0.0,348.432
-4.883,100000.0,0.9997018679147718,0.0,348.432
-4.882,100000.0,0.9997018679147718,0.0,348.432
-4.881,100000.0,0.9997018679147718,0.0,348.432
-4.88,100000.0,0.9997018679147718,0.0,348.432
-4.879,100000.0,0.9997018679147718,0.0,348.432
-4.878,100000.0,0.9997018679147718,0.0,348.432
-4.877,100000.0,0.9997018679147718,0.0,348.432
-4.876,100000.0,0.9997018679147718,0.0,348.432
-4.875,100000.0,0.9997018679147718,0.0,348.432
-4.874,100000.0,0.9997018679147718,0.0,348.432
-4.873,100000.0,0.9997018679147718,0.0,348.432
-4.872,100000.0,0.9997018679147718,0.0,348.432
-4.871,100000.0,0.9997018679147718,0.0,348.432
-4.87,100000.0,0.9997018679147718,0.0,348.432
-4.869,100000.0,0.9997018679147718,0.0,348.432
-4.868,100000.0,0.9997018679147718,0.0,348.432
-4.867,100000.0,0.9997018679147718,0.0,348.432
-4.866,100000.0,0.9997018679147718,0.0,348.432
-4.865,100000.0,0.9997018679147718,0.0,348.432
-4.864,100000.0,0.9997018679147718,0.0,348.432
-4.8629999999999995,100000.0,0.9997018679147718,0.0,348.432
-4.862,100000.0,0.9997018679147718,0.0,348.432
-4.861,100000.0,0.9997018679147718,0.0,348.432
-4.86,100000.0,0.9997018679147718,0.0,348.432
-4.859,100000.0,0.9997018679147718,0.0,348.432
-4.858,100000.0,0.9997018679147718,0.0,348.432
-4.857,100000.0,0.9997018679147718,0.0,348.432
-4.856,100000.0,0.9997018679147718,0.0,348.432
-4.855,100000.0,0.9997018679147718,0.0,348.432
-4.854,100000.0,0.9997018679147718,0.0,348.432
-4.853,100000.0,0.9997018679147718,0.0,348.432
-4.852,100000.0,0.9997018679147718,0.0,348.432
-4.851,100000.0,0.9997018679147718,0.0,348.432
-4.85,100000.0,0.9997018679147718,0.0,348.432
-4.849,100000.0,0.9997018679147718,0.0,348.432
-4.848,100000.0,0.9997018679147718,0.0,348.432
-4.847,100000.0,0.9997018679147718,0.0,348.432
-4.846,100000.0,0.9997018679147718,0.0,348.432
-4.845,100000.0,0.9997018679147718,0.0,348.432
-4.844,100000.0,0.9997018679147718,0.0,348.432
-4.843,100000.0,0.9997018679147718,0.0,348.432
-4.842,100000.0,0.9997018679147718,0.0,348.432
-4.841,100000.0,0.9997018679147718,0.0,348.432
-4.84,100000.0,0.9997018679147718,0.0,348.432
-4.839,100000.0,0.9997018679147718,0.0,348.432
-4.838,100000.0,0.9997018679147718,0.0,348.432
-4.837,100000.0,0.9997018679147718,0.0,348.432
-4.836,100000.0,0.9997018679147718,0.0,348.432
-4.835,100000.0,0.9997018679147718,0.0,348.432
-4.834,100000.0,0.9997018679147718,0.0,348.432
-4.833,100000.0,0.9997018679147718,0.0,348.432
-4.832,100000.0,0.9997018679147718,0.0,348.432
-4.831,100000.0,0.9997018679147718,0.0,348.432
-4.83,100000.0,0.9997018679147718,0.0,348.432
-4.829,100000.0,0.9997018679147718,0.0,348.432
-4.828,100000.0,0.9997018679147718,0.0,348.432
-4.827,100000.0,0.9997018679147718,0.0,348.432
-4.826,100000.0,0.9997018679147718,0.0,348.432
